id,name,primary_wing_id,primary_hall_id,primary_room_id,tier,rationale,secondary_hall_ids,controversy_note
existentialism,Existentialism,wing-modern-traditions,phenomenology-existence-embodiment,existentialism-freedom,anchor-exhibit,The postwar freedom and facticity room is the movement’s primary home; Hellenistic comparisons and nineteenth-century precursors remain explicitly non-membership routes.,critique-power-deconstruction;faith-pessimism-life-value;hellenistic-roman-ways;moral-life-practical-reason,"The hall distinguishes self-identification, precursor, influence, and rejected-label statuses."
phenomenology,Phenomenology,wing-modern-traditions,phenomenology-existence-embodiment,phenomenology-method,anchor-exhibit,"Husserl’s method and lifeworld supply phenomenology’s historical center, with later embodiment, existence, interpretation, and critique developed around it.",critique-power-deconstruction,
pragmatism,Pragmatism,wing-modern-traditions,pragmatism-democratic-inquiry,pragmatism-peirce-inquiry,anchor-exhibit,"Peirce’s public, fallibilist inquiry provides the movement’s primary threshold before James, Dewey, and later continuities.",core-questions-forum,
analytic-philosophy,Analytic Philosophy,wing-modern-traditions,analytic-traditions,analytic-origins-foundations,anchor-exhibit,Origins in logic and analysis provide a historical threshold for diverse analytic traditions; thematic and Continental comparisons do not imply one unified doctrine.,core-questions-forum;critique-power-deconstruction,
continental-philosophy,Continental Philosophy,wing-modern-traditions,critique-power-deconstruction,continental-orientation,supporting-exhibit,"The critique hall treats Continental Philosophy as a retrospective navigation family, then routes visitors to its German, nineteenth-century, phenomenological, and critical histories.",analytic-traditions;phenomenology-existence-embodiment;german-idealism-afterlives;utility-liberty-history-capital;faith-pessimism-life-value,
feminist-philosophy,Feminist Philosophy,wing-ethics-politics-society,feminist-philosophies,feminist-orientation-genealogies,anchor-exhibit,A dedicated plural-genealogies room keeps feminist philosophy from becoming a late appendix while preserving distinct historical and liberation routes.,colonialism-race-liberation;enlightenment-revolution-kant;justice-democratic-reason;moral-life-practical-reason;phenomenology-existence-embodiment,The source start year 1792 is too late for the current Mary Astell record; the hall begins with early-modern genealogies.
philosophy-of-religion,Philosophy of Religion,wing-core-questions,core-questions-forum,core-religion,anchor-exhibit,"The Forum supplies a comparative field home, while South Asian, late-antique, Islamic, Jewish, Latin, and Enlightenment routes retain their own practices and vocabularies.",classical-south-asian-worlds;late-antiquity-inheritance;islamic-philosophical-worlds;jewish-philosophy;latin-christian-scholastic;enlightenment-revolution-kant,
ancient-greek,Ancient Greek Philosophy,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-orientation-nature,supporting-exhibit,"This umbrella is an orientation to several Mediterranean schools, not one doctrine; routes continue into Hellenistic and late-antique transformations.",core-questions-forum;moral-life-practical-reason;hellenistic-roman-ways;late-antiquity-inheritance,
chinese-philosophy,Chinese Philosophy,wing-east-asian-worlds,classical-chinese-traditions,china-many-ways,supporting-exhibit,"Many Ways in Early China is an umbrella orientation to competing traditions, with East Asian continuities preventing the field from ending in the Warring States.",justice-democratic-reason;moral-life-practical-reason;east-asian-continuities,
confucianism,Confucianism,wing-east-asian-worlds,classical-chinese-traditions,china-confucian-cultivation,anchor-exhibit,"The ritual, humaneness, cultivation, and human-nature debates form Confucianism’s classical home; later East Asian reconstructions remain a required continuation.",justice-democratic-reason;moral-life-practical-reason;east-asian-continuities,
daoism,Daoism,wing-east-asian-worlds,classical-chinese-traditions,china-daoist-way,anchor-exhibit,"The Daodejing and Zhuangzi room provides an attribution-aware classical home, while institutional and later East Asian developments remain a continuation route.",core-questions-forum;moral-life-practical-reason;east-asian-continuities,
mohism,Mohism,wing-east-asian-worlds,classical-chinese-traditions,china-mohist-fa,anchor-exhibit,"Mohist argument receives its own bay in an early Chinese debate room; adjacency to fa/statecraft currents marks disagreement, not shared school membership.",justice-democratic-reason;moral-life-practical-reason,
legalism,Legalism,wing-east-asian-worlds,classical-chinese-traditions,china-mohist-fa,thematic-cluster-participant,"The stable search label is housed with diverse fa and statecraft currents as a retrospective grouping, not as one self-identified school.",justice-democratic-reason,Legalism is a retrospective grouping; visitor labels should foreground fa and statecraft currents.
indian-philosophy,Indian Philosophy,wing-south-asian-worlds,classical-south-asian-worlds,south-orientation-many-schools,supporting-exhibit,"This umbrella orients visitors to many South Asian schools and acknowledged gaps; it does not turn Jain, Yoga, realist, or Vedānta traditions into one doctrine.",buddhist-philosophies;core-questions-forum,
jainism,Jainism,wing-south-asian-worlds,classical-south-asian-worlds,south-jain-worlds,anchor-exhibit,"The Jain worlds room preserves nonviolence, karma, knowledge, ascetic practice, and liberation inside a living intellectual tradition.",buddhist-philosophies;moral-life-practical-reason,
vedanta,Vedanta,wing-south-asian-worlds,classical-south-asian-worlds,south-vedanta-rival-readings,anchor-exhibit,"A rival-readings room makes Advaita, Viśiṣṭādvaita, and Dvaita commentary legible without treating any one systematizer as founder of Vedānta as a whole.",buddhist-philosophies;core-questions-forum,
buddhist-philosophy,Buddhist Philosophy,wing-buddhist-worlds,buddhist-philosophies,buddhist-many-paths,anchor-exhibit,"A distinct transregional Buddhist wing preserves liberation, debate, and institutional history while routing later transformations across Asia.",classical-south-asian-worlds;core-questions-forum;hellenistic-roman-ways;moral-life-practical-reason;east-asian-continuities,
buddhist-epistemology,Buddhist Epistemology,wing-buddhist-worlds,buddhist-philosophies,buddhist-pramana,thematic-cluster-participant,The pramāṇa lineage remains primary in Buddhist scholastic history; Knowledge and Logic are comparative lenses rather than owners of the tradition.,core-questions-forum,"A modern umbrella label for a pramāṇa lineage; cultural-historical primary, thematic Knowledge/Logic secondary."
islamic-philosophy,Islamic Philosophy,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-translation-falsafa,anchor-exhibit,"A dedicated Arabic and Islamic intellectual-world hall preserves original systems, debates, institutions, and post-classical continuities.",core-questions-forum;jewish-philosophy;latin-christian-scholastic,A distinct intellectual-world home avoids reducing Arabic/Islamic philosophy to transmission into Latin Europe.
medieval-scholasticism,Medieval Scholasticism,wing-medieval-connected-worlds,latin-christian-scholastic,latin-dialectic-early-scholastic,anchor-exhibit,"The Latin hall presents scholasticism as a practice and institutional culture, not as every medieval philosophy or a synonym for Islamic and Jewish thought.",core-questions-forum;islamic-philosophical-worlds;jewish-philosophy,"Scholasticism is a practice and institutional culture, not a synonym for all Latin Christian philosophy."
rationalism,Rationalism,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-cartesian-foundations,anchor-exhibit,"The Cartesian foundations room provides the movement’s early-modern historical center, with later mind, metaphysics, and critical routes kept distinct.",core-questions-forum;empiricism-science-political-order,
empiricism,Empiricism,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-locke-ideas-rights,anchor-exhibit,"The ideas and experience room supplies empiricism’s early-modern historical home, while science, politics, and later epistemology remain visible routes.",core-questions-forum;rationalism-mind-nature-system,
german-idealism,German Idealism,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-orientation,anchor-exhibit,"Post-Kantian self, activity, and freedom provides the movement’s primary threshold; Kant remains a precursor in the adjoining Enlightenment hall.",core-questions-forum;enlightenment-revolution-kant,
