id,name,primary_wing_id,primary_hall_id,primary_room_id,tier,rationale,secondary_hall_ids,controversy_note,source_date_context
anselm,Anselm,wing-medieval-connected-worlds,latin-christian-scholastic,latin-dialectic-early-scholastic,standard-individual-exhibit,"Anselm is primary in Monastic reason, dialectic, and early scholastic practice because it preserves the record’s Scholastic formation in Europe; later field influence is handled through secondary lenses.",core-questions-forum,,1033 CE–1109 CE
maimonides,Maimonides,wing-medieval-connected-worlds,jewish-philosophy,jewish-maimonidean-crossroads,anchor-exhibit,"Maimonides is primary in Maimonides: law, negative theology, and Aristotelian argument because it preserves the record’s Jewish formation in Andalusia / Egypt; later field influence is handled through secondary lenses.",core-questions-forum;islamic-philosophical-worlds;latin-christian-scholastic,,1138 CE–1204 CE
aquinas,Thomas Aquinas,wing-medieval-connected-worlds,latin-christian-scholastic,latin-high-scholastic,anchor-exhibit,Thomas Aquinas is primary in High university synthesis and contest because it preserves the record’s Scholastic formation in Italy; later field influence is handled through secondary lenses.,core-questions-forum,,1225 CE–1274 CE
duns-scotus,Duns Scotus,wing-medieval-connected-worlds,latin-christian-scholastic,latin-late-debates,standard-individual-exhibit,"Duns Scotus is primary in Late scholastic alternatives, mysticism, and political conflict because it preserves the record’s Scholastic formation in Scotland / Europe; no additional hall route is planned at current scope.",,,1266 CE–1308 CE
ockham,William of Ockham,wing-medieval-connected-worlds,latin-christian-scholastic,latin-late-debates,standard-individual-exhibit,"William of Ockham is primary in Late scholastic alternatives, mysticism, and political conflict because it preserves the record’s Scholastic formation in England; later field influence is handled through secondary lenses.",core-questions-forum,,1287 CE–1347 CE
machiavelli,Machiavelli,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-statecraft-republic,anchor-exhibit,Machiavelli is primary in Civic power and statecraft because it preserves the record’s Renaissance formation in Florence; later field influence is handled through secondary lenses.,justice-democratic-reason,,1469 CE–1527 CE
bacon,Francis Bacon,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-experiment-method,standard-individual-exhibit,"Francis Bacon is primary in Experiment, method, and organized inquiry because it preserves the record’s Early modern formation in England; later field influence is handled through secondary lenses.",core-questions-forum;empiricism-science-political-order,,1561 CE–1626 CE
descartes,Descartes,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-cartesian-foundations,anchor-exhibit,Descartes is primary in Cartesian foundations and dualism because it preserves the record’s Rationalist formation in France; later field influence is handled through secondary lenses.,core-questions-forum,,1596 CE–1650 CE
hobbes,Hobbes,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-sovereignty-materialism,standard-individual-exhibit,"Hobbes is primary in Sovereignty, covenant, and materialism because it preserves the record’s Early modern formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason,,1588 CE–1679 CE
spinoza,Spinoza,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-spinoza-conway,anchor-exhibit,"Spinoza is primary in Substance, vitality, God/Nature, and freedom because it preserves the record’s Rationalist formation in Netherlands; later field influence is handled through secondary lenses.",core-questions-forum;jewish-philosophy,"Rationalism remains primary; the Jewish-hall threshold treats Amsterdam formation, scripture criticism, and rupture without claiming simple membership.",1632 CE–1677 CE
leibniz,Leibniz,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-leibniz-system,standard-individual-exhibit,"Leibniz is primary in Monads, sufficient reason, and possible worlds because it preserves the record’s Rationalist formation in Germany; later field influence is handled through secondary lenses.",core-questions-forum,,1646 CE–1716 CE
locke,Locke,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-locke-ideas-rights,anchor-exhibit,"Locke is primary in Ideas, experience, identity, and rights because it preserves the record’s Empiricist formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason,,1632 CE–1704 CE
berkeley,Berkeley,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-berkeley-perception,standard-individual-exhibit,Berkeley is primary in Perception and immaterialism because it preserves the record’s Empiricist formation in Ireland; later field influence is handled through secondary lenses.,core-questions-forum,,1685 CE–1753 CE
hume,Hume,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-hume-skepticism,anchor-exhibit,"Hume is primary in Causation, habit, sentiment, and mitigated skepticism because it preserves the record’s Empiricist formation in Scotland; later field influence is handled through secondary lenses.",core-questions-forum,,1711 CE–1776 CE
rousseau,Rousseau,wing-early-modern-enlightenment,enlightenment-revolution-kant,enlightenment-society-freedom,anchor-exhibit,"Rousseau is primary in Inequality, civic freedom, and education because it preserves the record’s Enlightenment formation in Geneva / France; later field influence is handled through secondary lenses.",justice-democratic-reason,,1712 CE–1778 CE
bentham,Jeremy Bentham,wing-nineteenth-transformations,utility-liberty-history-capital,nineteenth-utilitarian-reform,standard-individual-exhibit,"Jeremy Bentham is primary in Utility, law, reform, and individuality because it preserves the record’s Utilitarian formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason;moral-life-practical-reason,,1748 CE–1832 CE
kant,Kant,wing-early-modern-enlightenment,enlightenment-revolution-kant,enlightenment-kant-critical,anchor-exhibit,Kant’s critical project answers the late-Enlightenment rationalism/empiricism crisis and forms the hinge to later fields and German Idealism.,core-questions-forum;german-idealism-afterlives;justice-democratic-reason;moral-life-practical-reason,Late-Enlightenment primary; German Idealism remains a successor route because current accuracy metadata marks Kant as precursor.,1724 CE–1804 CE
fichte,Fichte,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-orientation,standard-individual-exhibit,"Fichte is primary in Post-Kantian self, activity, and freedom because it preserves the record’s German Idealist formation in Germany; no additional hall route is planned at current scope.",,,1762 CE–1814 CE
schelling,Schelling,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-nature,standard-individual-exhibit,"Schelling is primary in Nature, identity, art, and freedom because it preserves the record’s German Idealist formation in Germany; no additional hall route is planned at current scope.",,,1775 CE–1854 CE
hegel,Hegel,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-hegel,anchor-exhibit,"Hegel is primary in History, recognition, social freedom, and system because it preserves the record’s German Idealist formation in Germany; later field influence is handled through secondary lenses.",critique-power-deconstruction,,1770 CE–1831 CE
schopenhauer,Schopenhauer,wing-nineteenth-transformations,faith-pessimism-life-value,nineteenth-will-pessimism,standard-individual-exhibit,"Schopenhauer is primary in Will, representation, suffering, and reception because it preserves the record’s Nineteenth century formation in Germany; later field influence is handled through secondary lenses.",buddhist-philosophies;classical-south-asian-worlds;core-questions-forum,,1788 CE–1860 CE
kierkegaard,Kierkegaard,wing-nineteenth-transformations,faith-pessimism-life-value,nineteenth-faith-subjectivity,standard-individual-exhibit,"Kierkegaard is primary among nineteenth-century faith, anxiety, and selfhood debates as a major precursor to later Existentialism, not a retrospective member.",core-questions-forum;phenomenology-existence-embodiment,Existentialism is a later reception route; current accuracy metadata marks Kierkegaard as a precursor.,1813 CE–1855 CE
marx,Marx,wing-nineteenth-transformations,utility-liberty-history-capital,nineteenth-labor-capital,anchor-exhibit,"Marx is primary in Labor, capital, class, and historical critique because it preserves the record’s Critical formation in Germany / England; later field influence is handled through secondary lenses.",critique-power-deconstruction;justice-democratic-reason,,1818 CE–1883 CE
mill,John Stuart Mill,wing-nineteenth-transformations,utility-liberty-history-capital,nineteenth-utilitarian-reform,anchor-exhibit,"John Stuart Mill is primary in Utility, law, reform, and individuality because it preserves the record’s Utilitarian formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason;moral-life-practical-reason,,1806 CE–1873 CE
nietzsche,Nietzsche,wing-nineteenth-transformations,faith-pessimism-life-value,nineteenth-genealogy-value,anchor-exhibit,"Nietzsche is primary in Genealogy, nihilism, life, and value creation because it preserves the record’s Nineteenth century formation in Germany; later field influence is handled through secondary lenses.",critique-power-deconstruction;phenomenology-existence-embodiment,,1844 CE–1900 CE
husserl,Husserl,wing-modern-traditions,phenomenology-existence-embodiment,phenomenology-method,anchor-exhibit,"Husserl is primary in Intentionality, reduction, and lifeworld because it preserves the record’s Phenomenologist formation in Central Europe; no additional hall route is planned at current scope.",,,1859 CE–1938 CE
heidegger,Heidegger,wing-modern-traditions,phenomenology-existence-embodiment,phenomenology-being-embodiment,anchor-exhibit,"Heidegger is primary in Being-in-the-world, perception, and embodiment because it preserves the record’s Phenomenologist formation in Germany; later field influence is handled through secondary lenses.",core-questions-forum;critique-power-deconstruction,,1889 CE–1976 CE
wittgenstein,Wittgenstein,wing-modern-traditions,analytic-traditions,analytic-wittgenstein,anchor-exhibit,"A longitudinal analytic installation best preserves the debated continuity between logical form, use, and philosophical therapy.",core-questions-forum;moral-life-practical-reason,"Analytic primary preserves both early logical and later use-oriented phases; Logic, Language, and Mind remain secondary lenses.",1889 CE–1951 CE
russell,Bertrand Russell,wing-modern-traditions,analytic-traditions,analytic-origins-foundations,standard-individual-exhibit,"Bertrand Russell is primary in Origins in logic, analysis, and reference because it preserves the record’s Analytic formation in Britain; later field influence is handled through secondary lenses.",core-questions-forum,,1872 CE–1970 CE
whitehead,Alfred North Whitehead,wing-core-questions,core-questions-forum,core-reality-being,anchor-exhibit,"Mature process metaphysics is the most coherent whole-career home; logic and science remain room-level Forum lenses, while analytic origins receive a secondary hall route.",analytic-traditions,,1861 CE–1947 CE
dewey,John Dewey,wing-modern-traditions,pragmatism-democratic-inquiry,pragmatism-dewey-democracy,standard-individual-exhibit,"John Dewey is primary in Dewey: inquiry, education, and experimental democracy because it preserves the record’s Pragmatist formation in the United States; the Justice route interprets democracy, publics, and education without detaching them from experimental inquiry.",justice-democratic-reason,,1859 CE–1952 CE
sartre,Jean-Paul Sartre,wing-modern-traditions,phenomenology-existence-embodiment,existentialism-freedom,anchor-exhibit,"Jean-Paul Sartre is primary in Existentialism: freedom, facticity, and bad faith because it preserves the record’s Existentialist formation in France; later field influence is handled through secondary lenses.",critique-power-deconstruction,,1905 CE–1980 CE
beauvoir,Simone de Beauvoir,wing-modern-traditions,phenomenology-existence-embodiment,existentialism-situated-absurd,anchor-exhibit,"Simone de Beauvoir is primary in Situated freedom, ambiguity, the absurd, and revolt because it preserves the record’s Existentialist / feminist formation in France; later field influence is handled through secondary lenses.",feminist-philosophies,Primary phenomenological/existential home with anchor-strength feminist secondary presence; a defensible alternative is feminist primary.,1908 CE–1986 CE
camus,Albert Camus,wing-modern-traditions,phenomenology-existence-embodiment,existentialism-situated-absurd,standard-individual-exhibit,"Camus is primary beside existential debates because absurdity and revolt organize the work, while his French-Algerian settler position and politics require critical routes elsewhere.",justice-democratic-reason;colonialism-race-liberation,"Camus rejected the existentialist label; the colonial secondary stages his opposition to Algerian independence and a Fanon counterpoint, not membership or endorsement.",1913 CE–1960 CE
arendt,Hannah Arendt,wing-ethics-politics-society,justice-democratic-reason,justice-political-orientation,anchor-exhibit,"Hannah Arendt is primary in Political philosophy, authority, and public action because it preserves the record’s Political formation in Germany / US; no additional hall route is planned at current scope.",,,1906 CE–1975 CE
anscombe,Elizabeth Anscombe,wing-modern-traditions,analytic-traditions,analytic-action-intention,standard-individual-exhibit,Action and intention unify Anscombe’s analytic work; virtue ethics and philosophy of mind receive substantial secondary treatment.,core-questions-forum;moral-life-practical-reason,Primary Analytic/Action by contribution-first rule; the major alternative is Ethics/Virtue Revival.,1919 CE–2001 CE
rawls,John Rawls,wing-ethics-politics-society,justice-democratic-reason,justice-distribution-rights,anchor-exhibit,"John Rawls is primary in Justice, distribution, rights, and the state because it preserves the record’s Political formation in United States; no additional hall route is planned at current scope.",,,1921 CE–2002 CE
nozick,Robert Nozick,wing-ethics-politics-society,justice-democratic-reason,justice-distribution-rights,standard-individual-exhibit,"Robert Nozick is primary in Justice, distribution, rights, and the state because it preserves the record’s Political formation in United States; no additional hall route is planned at current scope.",,,1938 CE–2002 CE
foucault,Michel Foucault,wing-modern-traditions,critique-power-deconstruction,critique-genealogy-power,anchor-exhibit,"Foucault is primary in archaeology, genealogy, institutions, and subject formation because postwar French critical-historical method gives the work its clearest through-line.",colonialism-race-liberation;feminist-philosophies;justice-democratic-reason,"Genealogy and subject formation organize the primary; political, feminist, and coloniality uses are substantial later receptions rather than school memberships.",1926 CE–1984 CE
derrida,Jacques Derrida,wing-modern-traditions,critique-power-deconstruction,critique-deconstruction,standard-individual-exhibit,"Derrida is primary in writing, difference, institution, and justice because deconstruction and his postwar French-Algerian context are more precise than a retrospective Continental formation label.",core-questions-forum,,1930 CE–2004 CE
heraclitus,Heraclitus,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Heraclitus is primary in Number, being, change, plurality, and atomism because it preserves the record’s Pre-Socratic formation in Ephesus; later field influence is handled through secondary lenses.",core-questions-forum,,535 BCE–475 BCE
empedocles,Empedocles,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Empedocles is primary in Number, being, change, plurality, and atomism because it preserves the record’s Pre-Socratic formation in Sicily; later field influence is handled through secondary lenses.",core-questions-forum,,494 BCE–434 BCE
